)}-|| = "|
%&*"& = "$)|
:"+:: = [[%
The question is ||+$&

Operator symbols -*+
Question operator symbol +
Question operator in examples

Digit symbols )}|"%&$:[

Checking concatenation
left )} op - right || expected )}|| versus "| mismatch
left %& op * right "& expected %&"& versus "$)| mismatch
left :" op + right :: expected :":: versus [[% mismatch

Question operator + is not concatenation

Checking reverse concatenation
left )} op - right || expected ||)} versus "| mismatch
left %& op * right "& expected "&%& versus "$)| mismatch
left :" op + right :: expected :::" versus [[% mismatch

Question operator + is not reverse concatenation

Filtering out the concatenation operations
)}-|| = "|
%&*"& = "$)|
:"+:: = [[%

Assigning mul
 left )} op - right || = "| length 2
 left %& op * right "& = "$)| length 4 assume mul
 left :" op + right :: = [[% length 3

Assigning sub
 left )} op - right || = "| length 2
 left %& op * right "& = "$)| assumed mul
 left :" op + right :: = [[% length 3

Assigning add
 left )} op - right || = "| length 2
 left %& op * right "& = "$)| assumed mul
 left :" op + right :: = [[% length 3 assume add

Assigning remainder
 add is assigned, assigning remainder as sub
 left )} op - right || = "| length 2 assume sub
 left %& op * right "& = "$)| assumed mul
 left :" op + right :: = [[% assumed add
 left || op + right $& the question, assumed add
)}-|| = 36 sub 99 = 63 vs "| 29 diff 34 sub no; 63 sub 99 = 36 vs rev |" 92 diff 56 sub no
 rejected none ||+$& = 99 add 14 rev 99 add 41 = 140 rev 041 = final answer: %&$

Trying )=1 }=8 |=3 "=2 %=0 &=4 $=6 :=7 [=9 A=5
)}-|| = 18 sub 33 = 15 vs "| 23 diff 8 sub no; 81 sub 33 = 48 vs rev |" 32 diff 16 sub no
 rejected none ||+$& = 33 add 64 rev 33 add 46 = 79 rev 97 = final answer: [:

Trying )=5 }=1 |=8 "=2 %=0 &=4 $=6 :=7 [=9 A=3
)}-|| = 51 sub 88 = 37 vs "| 28 diff 9 sub no; 15 sub 88 = 73 vs rev |" 82 diff 9 sub no
 rejected none ||+$& = 88 add 64 rev 88 add 46 = 134 rev 431 = final answer: &A}

Trying )=9 }=5 |=1 "=2 %=0 &=4 $=6 :=7 [=8 A=3
)}-|| = 95 sub 11 = 84 vs "| 21 diff 63 sub no; 59 sub 11 = 48 vs rev |" 12 diff 36 sub no
 rejected none ||+$& = 11 add 64 rev 11 add 46 = 57 rev 75 = final answer: :}

Trying )=6 }=9 |=5 "=2 %=0 &=4 $=1 :=7 [=8 A=3
)}-|| = 69 sub 55 = 14 vs "| 25 diff 11 sub no; 96 sub 55 = 41 vs rev |" 52 diff 11 sub no
 rejected none ||+$& = 55 add 14 rev 55 add 41 = 96 rev 69 = final answer: )}

Trying )=3 }=6 |=9 "=2 %=0 &=4 $=1 :=7 [=8 A=5
)}-|| = 36 sub 99 = 63 vs "| 29 diff 34 sub no; 63 sub 99 = 36 vs rev |" 92 diff 56 sub no
 rejected none ||+$& = 99 add 14 rev 99 add 41 = 140 rev 041 = final answer: %&$

Trying )=1 }=8 |=3 "=2 %=0 &=4 $=6 :=7 [=9 A=5
)}-|| = 18 sub 33 = 15 vs "| 23 diff 8 sub no; 81 sub 33 = 48 vs rev |" 32 diff 16 sub no
 rejected none ||+$& = 33 add 64 rev 33 add 46 = 79 rev 97 = final answer: [:

Trying )=5 }=1 |=8 "=2 %=0 &=4 $=6 :=7 [=9 A=3
)}-|| = 51 sub 88 = 37 vs "| 28 diff 9 sub no; 15 sub 88 = 73 vs rev |" 82 diff 9 sub no
 rejected none ||+$& = 88 add 64 rev 88 add 46 = 134 rev 431 = final answer: &A}

Trying )=9 }=5 |=1 "=2 %=0 &=4 $=6 :=7 [=8 A=3
)}-|| = 95 sub 11 = 84 vs "| 21 diff 63 sub no; 59 sub 11 = 48 vs rev |" 12 diff 36 sub no
 rejected none ||+$& = 11 add 64 rev 11 add 46 = 57 rev 75 = final answer: :}

Trying )=6 }=9 |=5 "=2 %=0 &=4 $=1 :=7 [=8 A=3
)}-|| = 69 sub 55 = 14 vs "| 25 diff 11 sub no; 96 sub 55 = 41 vs rev |" 52 diff 11 sub no
 rejected none ||+$& = 55 add 14 rev 55 add 41 = 96 rev 69 = final answer: )}

Trying )=3 }=6 |=9 "=2 %=0 &=4 $=1 :=7 [=8 A=5
)}-|| = 36 sub 99 = 63 vs "| 29 diff 34 sub no; 63 sub 99 = 36 vs rev |" 92 diff 56 sub no
 rejected none ||+$& = 99 add 14 rev 99 add 41 = 140 rev 041 = final answer: %&$

Trying )=1 }=8 |=3 "=2 %=0 &=4 $=6 :=7 [=9 A=5
)}-|| = 18 sub 33 = 15 vs "| 23 diff 8 sub no; 81 sub 33 = 48 vs rev |" 32 diff 16 sub no
 rejected none ||+$& = 33 add 64 rev 33 add 46 = 79 rev 97 = final answer: [:

Trying )=5 }=1 |=8 "=2 %=0 &=4 $=6 :=7 [=9 A=3
)}-|| = 51 sub 88 = 37 vs "| 28 diff 9 sub no; 15 sub 88 = 73 vs rev |" 82 diff 9 sub no
 rejected none ||+$& = 88 add 64 rev 88 add 46 = 134 rev 431 = final answer: &A}

Trying )=9 }=5 |=1 "=2 %=0 &=4 $=6 :=7 [=8 A=3
)}-|| = 95 sub 11 = 84 vs "| 21 diff 63 sub no; 59 sub 11 = 48 vs rev |" 12 diff 36 sub no
 rejected none ||+$& = 11 add 64 rev 11 add 46 = 57 rev 75 = final answer: :}

Trying )=6 }=9 |=5 "=2 %=0 &=4 $=1 :=7 [=8 A=3
)}-|| = 69 sub 55 = 14 vs "| 25 diff 11 sub no; 96 sub 55 = 41 vs rev |" 52 diff 11 sub no
 rejected none ||+$& = 55 add 14 rev 55 add 41 = 96 rev 69 = final answer: )}

Trying )=3 }=6 |=9 "=2 %=0 &=4 $=1 :=7 [=8 A=5
)}-|| = 36 sub 99 = 63 vs "| 29 diff 34 sub no; 63 sub 99 = 36 vs rev |" 92 diff 56 sub no
 rejected none ||+$& = 99 add 14 rev 99 add 41 = 140 rev 041 = final answer: %&$

Trying )=1 }=8 |=3 "=2 %=0 &=4 $=6 :=7 [=9 A=5
)}-|| = 18 sub 33 = 15 vs "| 23 diff 8 sub no; 81 sub 33 = 48 vs rev |" 32 diff 16 sub no
 rejected none ||+$& = 33 add 64 rev 33 add 46 = 79 rev 97 = final answer: [:

Trying )=5 }=1 |=8 "=2 %=0 &=4 $=6 :=7 [=9 A=3
)}-|| = 51 sub 88 = 37 vs "| 28 diff 9 sub no; 15 sub 88 = 73 vs rev |" 82 diff 9 sub no
 rejected none ||+$& = 88 add 64 rev 88 add 46 = 134 rev 431 = final answer: &A}

Trying )=9 }=5 |=1 "=2 %=0 &=4 $=6 :=7 [=8 A=3
)}-|| = 95 sub 11 = 84 vs "| 21 diff 63 sub no; 59 sub 11 = 48 vs rev |" 12 diff 36 sub no
 rejected none ||+$& = 11 add 64 rev 11 add 46 = 57 rev 75 = final answer: :}

Trying )=6 }=9 |=5 "=2 %=0 &=4 $=1 :=7 [=8 A=3
)}-|| = 69 sub 55 = 14 vs "| 25 diff 11 sub no; 96 sub 55 = 41 vs rev |" 52 diff 11 sub no
 rejected none ||+$& = 55 add 14 rev 55 add 41 = 96 rev 69 = final answer: )}

Trying )=3 }=6 |=9 "=2 %=0 &=4 $=1 :=7 [=8 A=5
)}-|| = 36 sub 99 = 63 vs "| 29 diff 34 sub no; 63 sub 99 = 36 vs rev |" 92 diff 56 sub no
 rejected none ||+$& = 99 add 14 rev 99 add 41 = 140 rev 041 = final answer: %&$

Trying )=1 }=8 |=3 "=2 %=0 &=4 $=6 :=7 [=9 A=5
)}-|| = 18 sub 33 = 15 vs "| 23 diff 8 sub no; 81 sub 33 = 48 vs rev |" 32 diff 16 sub no
 rejected none ||+$& = 33 add 64 rev 33 add 46 = 79 rev 97 = final answer: [:

Trying )=5 }=1 |=8 "=2 %=0 &=4 $=6 :=7 [=9 A=3
)}-|| = 51 sub 88 = 37 vs "| 28 diff 9 sub no; 15 sub 88 = 73 vs rev |" 82 diff 9 sub no
 rejected none ||+$& = 88 add 64 rev 88 add 46 = 134 rev 431 = final answer: &A}

Trying )=9 }=5 |=1 "=2 %=0 &=4 $=6 :=7 [=8 A=3
)}-|| = 95 sub 11 = 84 vs "| 21 diff 63 sub no; 59 sub 11 = 48 vs rev |" 12 diff 36 sub no
 rejected none ||+$& = 11 add 64 rev 11 add 46 = 57 rev 75 = final answer: :}

Trying )=6 }=9 |=5 "=2 %=0 &=4 $=1 :=7 [=8 A=3
)}-|| = 69 sub 55 = 14 vs "| 25 diff 11 sub no; 96 sub 55 = 41 vs rev |" 52 diff 11 sub no
 rejected none ||+$& = 55 add 14 rev 55 add 41 = 96 rev 69 = final answer: )}

Trying )=3 }=6 |=9 "=2 %=0 &=4 $=1 :=7 [=8 A=5
)}-|| = 36 sub 99 = 63 vs "| 29 diff 34 sub no; 63 sub 99 = 36 vs rev |" 92 diff 56 sub no
 rejected none ||+$& = 99 add 14 rev 99 add 41 = 140 rev 041 = final answer: %&$

Trying )=1 }=8 |=3 "=2 %=0 &=4 $=6 :=7 [=9 A=5
)}-|| = 18 sub 33 = 15 vs "| 23 diff 8 sub no; 81 sub 33 = 48 vs rev |" 32 diff 16 sub no
 rejected none ||+$& = 33 add 64 rev 33 add 46 = 79 rev 97 = final answer: [:

Trying )=5 }=1 |=8 "=2 %=0 &=4 $=6 :=7 [=9 A=3
)}-|| = 51 sub 88 = 37 vs "| 28 diff 9 sub no; 15 sub 88 = 73 vs rev |" 82 diff 9 sub no
 rejected none ||+$& = 88 add 64 rev 88 add 46 = 134 rev 431 = final answer: &A}

Trying )=9 }=5 |=1 "=2 %=0 &=4 $=6 :=7 [=8 A=3
)}-|| = 95 sub 11 = 84 vs "| 21 diff 63 sub no; 59 sub 11 = 48 vs rev |" 12 diff 36 sub no
 rejected none ||+$& = 11 add 64 rev 11 add 46 = 57 rev 75 = final answer: :}

Trying )=6 }=9 |=5 "=2 %=0 &=4 $=1 :=7 [=8 A=3
)}-|| = 69 sub 55 = 14 vs "| 25 diff 11 sub no; 96 sub 55 = 41 vs rev |" 52 diff 11 sub no
 rejected none ||+$& = 55 add 14 rev 55 add 41 = 96 rev 69 = final answer: )}

Trying )=3 }=6 |=9 "=2 %=0 &=4 $=1 :=7 [=8 A=5
)}-|| = 36 sub 99 = 63 vs "| 29 diff 34 sub no; 63 sub 99 = 36 vs rev |" 92 diff 56 sub no
 rejected none ||+$& = 99 add 14 rev 99 add 41 = 140 rev 041 = final answer: %&$

Trying )=1 }=8 |=3 "=2 %=0 &=4 $=6 :=7 [=9 A=5
)}-|| = 18 sub 33 = 15 vs "| 23 diff 8 sub no; 81 sub 33 = 48 vs rev |" 32 diff 16 sub no
 rejected none ||+$& = 33 add 64 rev 33 add 46 = 79 rev 97 = final answer: [:

Trying )=5 }=1 |=8 "=2 %=0 &=4 $=6 :=7 [=9 A=3
)}-|| = 51 sub 88 = 37 vs "| 28 diff 9 sub no; 15 sub 88 = 73 vs rev |" 82 diff 9 sub no
 rejected none ||+$& = 88 add 64 rev 88 add 46 = 134 rev 431 = final answer: &A}

Trying )=9 }=5 |=1 "=2 %=0 &=4 $=6 :=7 [=8 A=3
)}-|| = 95 sub 11 = 84 vs "| 21 diff 63 sub no; 59 sub 11 = 48 vs rev |" 12 diff 36 sub no
 rejected none ||+$& = 11 add 64 rev 11 add 46 = 57 rev 75 = final answer: :}

Trying )=6 }=9 |=5 "=2 %=0 &=4 $=1 :=7 [=8 A=3
)}-|| = 69 sub 55 = 14 vs "| 25 diff 11 sub no; 96 sub 55 = 41 vs rev |" 52 diff 11 sub no
 rejected none
