}@-@' = @}
"%*|' = ]''%
!|+$$ = !|$$
The question is ]}-$"

Operator symbols -*+
Question operator symbol -
Question operator in examples

Digit symbols }@'"%|]!$

Checking concatenation
left }@ op - right @' expected }@@' versus @} mismatch
left "% op * right |' expected "%|' versus ]''% mismatch
left !| op + right $$ expected !|$$ versus !|$$ match +

Question operator - is not concatenation

Checking reverse concatenation
left }@ op - right @' expected @'}@ versus @} mismatch
left "% op * right |' expected |'"% versus ]''% mismatch
left !| op + right $$ expected $$!| versus !|$$ mismatch

Question operator - is not reverse concatenation

Filtering out the concatenation operations
}@-@' = @}
"%*|' = ]''%

Assigning mul
 left }@ op - right @' = @} length 2
 left "% op * right |' = ]''% length 4 assume mul

Assigning sub
 left }@ op - right @' = @} length 2
 left "% op * right |' = ]''% assumed mul

Assigning add

Trying }=6 @=8 '=0 "=1 %=2 |=3 ]=4 !=7 $=9 A=5
}@-@' = 68 add 80 = 148 vs @} 86 diff 62 add no; 86 add 08 = 94 vs rev }@ 68 diff 26 add no
 rejected none ]}-$" = 46 add 91 rev 64 add 19 = 83 rev 38 = final answer: |@

Trying }=9 @=6 '=8 "=0 %=1 |=2 ]=3 !=7 $=4 A=5
}@-@' = 96 add 68 = 164 vs @} 69 diff 95 add no; 69 add 86 = 155 vs rev }@ 96 diff 59 add no
 rejected none ]}-$" = 39 add 40 rev 93 add 04 = 97 rev 79 = final answer: !}

Trying }=1 @=2 '=3 "=4 %=5 |=6 ]=7 !=8 $=9 A=0
}@-@' = 12 add 23 = 35 vs @} 21 diff 14 add no; 21 add 32 = 53 vs rev }@ 12 diff 41 add no
 rejected none ]}-$" = 71 add 94 rev 17 add 49 = 66 rev 66 = final answer: ||

Trying }=0 @=1 '=2 "=3 %=4 |=5 ]=6 !=7 $=9 A=8
}@-@' = 01 add 12 = 13 vs @} 10 diff 3 add no; 10 add 21 = 31 vs rev }@ 01 diff 30 add no
 rejected none ]}-$" = 60 add 93 rev 06 add 39 = 45 rev 54 = final answer: |%

Trying }=8 @=0 '=1 "=2 %=3 |=4 ]=5 !=7 $=9 A=6
}@-@' = 80 add 01 = 81 vs @} 08 diff 73 add no; 08 add 10 = 18 vs rev }@ 80 diff 62 add no
 rejected none ]}-$" = 58 add 92 rev 85 add 29 = 114 rev 411 = final answer: |''

Trying }=6 @=8 '=0 "=1 %=2 |=3 ]=4 !=7 $=9 A=5
}@-@' = 68 add 80 = 148 vs @} 86 diff 62 add no; 86 add 08 = 94 vs rev }@ 68 diff 26 add no
 rejected none ]}-$" = 46 add 91 rev 64 add 19 = 83 rev 38 = final answer: |@

Trying }=9 @=6 '=8 "=0 %=1 |=2 ]=3 !=7 $=4 A=5
}@-@' = 96 add 68 = 164 vs @} 69 diff 95 add no; 69 add 86 = 155 vs rev }@ 96 diff 59 add no
 rejected none ]}-$" = 39 add 40 rev 93 add 04 = 97 rev 79 = final answer: !}

Trying }=1 @=2 '=3 "=4 %=5 |=6 ]=7 !=8 $=9 A=0
}@-@' = 12 add 23 = 35 vs @} 21 diff 14 add no; 21 add 32 = 53 vs rev }@ 12 diff 41 add no
 rejected none ]}-$" = 71 add 94 rev 17 add 49 = 66 rev 66 = final answer: ||

Trying }=0 @=1 '=2 "=3 %=4 |=5 ]=6 !=7 $=9 A=8
}@-@' = 01 add 12 = 13 vs @} 10 diff 3 add no; 10 add 21 = 31 vs rev }@ 01 diff 30 add no
 rejected none ]}-$" = 60 add 93 rev 06 add 39 = 45 rev 54 = final answer: |%

Trying }=8 @=0 '=1 "=2 %=3 |=4 ]=5 !=7 $=9 A=6
}@-@' = 80 add 01 = 81 vs @} 08 diff 73 add no; 08 add 10 = 18 vs rev }@ 80 diff 62 add no
 rejected none ]}-$" = 58 add 92 rev 85 add 29 = 114 rev 411 = final answer: |''

Trying }=6 @=8 '=0 "=1 %=2 |=3 ]=4 !=7 $=9 A=5
}@-@' = 68 add 80 = 148 vs @} 86 diff 62 add no; 86 add 08 = 94 vs rev }@ 68 diff 26 add no
 rejected none ]}-$" = 46 add 91 rev 64 add 19 = 83 rev 38 = final answer: |@

Trying }=9 @=6 '=8 "=0 %=1 |=2 ]=3 !=7 $=4 A=5
}@-@' = 96 add 68 = 164 vs @} 69 diff 95 add no; 69 add 86 = 155 vs rev }@ 96 diff 59 add no
 rejected none ]}-$" = 39 add 40 rev 93 add 04 = 97 rev 79 = final answer: !}

Trying }=1 @=2 '=3 "=4 %=5 |=6 ]=7 !=8 $=9 A=0
}@-@' = 12 add 23 = 35 vs @} 21 diff 14 add no; 21 add 32 = 53 vs rev }@ 12 diff 41 add no
 rejected none ]}-$" = 71 add 94 rev 17 add 49 = 66 rev 66 = final answer: ||

Trying }=0 @=1 '=2 "=3 %=4 |=5 ]=6 !=7 $=9 A=8
}@-@' = 01 add 12 = 13 vs @} 10 diff 3 add no; 10 add 21 = 31 vs rev }@ 01 diff 30 add no
 rejected none ]}-$" = 60 add 93 rev 06 add 39 = 45 rev 54 = final answer: |%

Trying }=8 @=0 '=1 "=2 %=3 |=4 ]=5 !=7 $=9 A=6
}@-@' = 80 add 01 = 81 vs @} 08 diff 73 add no; 08 add 10 = 18 vs rev }@ 80 diff 62 add no
 rejected none ]}-$" = 58 add 92 rev 85 add 29 = 114 rev 411 = final answer: |''

Trying }=6 @=8 '=0 "=1 %=2 |=3 ]=4 !=7 $=9 A=5
}@-@' = 68 add 80 = 148 vs @} 86 diff 62 add no; 86 add 08 = 94 vs rev }@ 68 diff 26 add no
 rejected none ]}-$" = 46 add 91 rev 64 add 19 = 83 rev 38 = final answer: |@

Trying }=9 @=6 '=8 "=0 %=1 |=2 ]=3 !=7 $=4 A=5
}@-@' = 96 add 68 = 164 vs @} 69 diff 95 add no; 69 add 86 = 155 vs rev }@ 96 diff 59 add no
 rejected none ]}-$" = 39 add 40 rev 93 add 04 = 97 rev 79 = final answer: !}

Trying }=1 @=2 '=3 "=4 %=5 |=6 ]=7 !=8 $=9 A=0
}@-@' = 12 add 23 = 35 vs @} 21 diff 14 add no; 21 add 32 = 53 vs rev }@ 12 diff 41 add no
 rejected none ]}-$" = 71 add 94 rev 17 add 49 = 66 rev 66 = final answer: ||

Trying }=0 @=1 '=2 "=3 %=4 |=5 ]=6 !=7 $=9 A=8
}@-@' = 01 add 12 = 13 vs @} 10 diff 3 add no; 10 add 21 = 31 vs rev }@ 01 diff 30 add no
 rejected none ]}-$" = 60 add 93 rev 06 add 39 = 45 rev 54 = final answer: |%

Trying }=8 @=0 '=1 "=2 %=3 |=4 ]=5 !=7 $=9 A=6
}@-@' = 80 add 01 = 81 vs @} 08 diff 73 add no; 08 add 10 = 18 vs rev }@ 80 diff 62 add no
 rejected none ]}-$" = 58 add 92 rev 85 add 29 = 114 rev 411 = final answer: |''

Trying }=6 @=8 '=0 "=1 %=2 |=3 ]=4 !=7 $=9 A=5
}@-@' = 68 add 80 = 148 vs @} 86 diff 62 add no; 86 add 08 = 94 vs rev }@ 68 diff 26 add no
 rejected none ]}-$" = 46 add 91 rev 64 add 19 = 83 rev 38 = final answer: |@

Trying }=9 @=6 '=8 "=0 %=1 |=2 ]=3 !=7 $=4 A=5
}@-@' = 96 add 68 = 164 vs @} 69 diff 95 add no; 69 add 86 = 155 vs rev }@ 96 diff 59 add no
 rejected none ]}-$" = 39 add 40 rev 93 add 04 = 97 rev 79 = final answer: !}

Trying }=1 @=2 '=3 "=4 %=5 |=6 ]=7 !=8 $=9 A=0
}@-@' = 12 add 23 = 35 vs @} 21 diff 14 add no; 21 add 32 = 53 vs rev }@ 12 diff 41 add no
 rejected none ]}-$" = 71 add 94 rev 17 add 49 = 66 rev 66 = final answer: ||

Trying }=0 @=1 '=2 "=3 %=4 |=5 ]=6 !=7 $=9 A=8
}@-@' = 01 add 12 = 13 vs @} 10 diff 3 add no; 10 add 21 = 31 vs rev }@ 01 diff 30 add no
 rejected none ]}-$" = 60 add 93 rev 06 add 39 = 45 rev 54 = final answer: |%

Trying }=8 @=0 '=1 "=2 %=3 |=4 ]=5 !=7 $=9 A=6
}@-@' = 80 add 01 = 81 vs @} 08 diff 73 add no; 08 add 10 = 18 vs rev }@ 80 diff 62 add no
 rejected none ]}-$" = 58 add 92 rev 85 add 29 = 114 rev 411 = final answer: |''

Trying }=6 @=8 '=0 "=1 %=2 |=3 ]=4 !=7 $=9 A=5
}@-@' = 68 add 80 = 148 vs @} 86 diff 62 add no; 86 add 08 = 94 vs rev }@ 68 diff 26 add no
 rejected none ]}-$" = 46 add 91 rev 64 add 19 = 83 rev 38 = final answer: |@

Trying }=9 @=6 '=8 "=0 %=1 |=2 ]=3 !=7 $=4 A=5
}@-@' = 96 add 68 = 164 vs @} 69 diff 95 add no; 69 add 86 = 155 vs rev }@ 96 diff 59 add no
 rejected none ]}-$" = 39 add 40 rev 93 add 04 = 97 rev 79 = final answer: !}

Trying }=1 @=2 '=3 "=4 %=5 |=6 ]=7 !=8 $=9 A=0
}@-@' = 12 add 23 = 35 vs @} 21 diff 14 add no; 21 add 32 = 53 vs rev }@ 12 diff 41 add no
 rejected none ]}-$" = 71 add 94 rev 17 add 49 = 66 rev 66 = final answer: ||

Trying }=0 @=1 '=2 "=3 %=4 |=5 ]=6 !=7 $=9 A=8
}@-@' = 01 add 12 = 13 vs @} 10 diff 3 add no; 10 add 21 = 31 vs rev }@ 01 diff 30 add no
 rejected none ]}-$" = 60 add 93 rev 06 add 39 = 45 rev 54 = final answer: |%

Trying }=8 @=0 '=1 "=2 %=3 |=4 ]=5 !=7 $=9 A=6
}@-@' = 80 add 01 = 81 vs @} 08 diff 73 add no; 08 add 10 = 18 vs rev }@ 80 diff 62 add no
 rejected none ]}-$" = 58 add 92 rev 85 add 29 = 114 rev 411 = final answer: |''

Trying }=6 @=8 '=0 "=1 %=2 |=3 ]=4 !=7 $=9 A=5
}@-@' = 68 add 80 = 148 vs @} 86 diff 62 add no; 86 add 08 = 94 vs rev }@ 68 diff 26 add no
 rejected none ]}-$" = 46 add 91 rev 64 add 19 = 83 rev 38 = final answer: |@

Trying }=9 @=6 '=8 "=0 %=1 |=2 ]=3 !=7 $=4 A=5
}@-@' = 96 add 68 = 164 vs @} 69 diff 95 add no; 69 add 86 = 155 vs rev }@ 96 diff 59 add no
 rejected none ]}-$" = 39 add 40 rev 93 add 04 = 97 rev 79 = final answer: !}

Trying }=1 @=2 '=3 "=4 %=5 |=6 ]=7 !=8 $=9 A=0
}@-@' = 12 add 23 = 35 vs @} 21 diff 14 add no; 21 add 32 = 53 vs rev }@ 12 diff 41 add no
 rejected none ]}-$" = 71 add 94 rev 17 add 49 = 66 rev 66 = final answer: ||

Trying }=0 @=1 '=2 "=3 %=4 |=5 ]=6 !=7 $=9 A=8
}@-@' = 01 add 12 = 13 vs @} 10 diff 3 add no; 10 add 21 = 31 vs rev }@ 01 diff 30 add no
 rejected none ]}-$" = 60 add 93 rev 06 add 39 = 45 rev 54 = final answer: |%

Trying }=8 @=0 '=1 "=2 %=3 |=4 ]=5 !=7 $=9 A=6
}@-@' = 80 add 01 = 81 vs @} 08 diff 73 add no; 08 add 10 = 18 vs rev }@ 80 diff 62 add no
 rejected none ]}-$" = 58 add 92 rev 85 add 29 = 114 rev 411 = final answer: |''

Trying }=6 @=8 '=0 "=1 %=2 |=3 ]=4 !=7 $=9 A=5
}@-@' = 68 add 80 = 148 vs @} 86 diff 62 add no; 86 add 08 = 94 vs rev }@ 68 diff 26 add no
 rejected none ]}-$" = 46 add 91 rev 64 add 19 = 83 rev 38 = final answer: |@

Trying }=9 @=6 '=8 "=0 %=1 |=2 ]=3 !=7 $=4 A=5
}@-@' = 96 add 68 = 164 vs @} 69 diff 95 add no; 69 add 86 = 155 vs rev }@ 96 diff 59 add no
 rejected none ]}-$" = 39 add 40 rev 93 add 04 = 97 rev 79 = final answer: !}

Trying }=1 @=2 '=3 "=4 %=5 |=6 ]=7 !=8 $=9 A=0
}@-@' = 12 add 23 = 35 vs @} 21 diff 14 add no; 21 add 32 = 53 vs rev }@ 12 diff 41 add no
 rejected none ]}-$" = 71 add 94 rev 17 add 49 = 66 rev 66 = final answer: ||

Trying }=0 @=1 '=2 "=3 %=4 |=5 ]=6 !=7 $=9 A=8
}@-@' = 01 add 12 = 13 vs @} 10 diff 3 add no; 10 add 21 = 31 vs rev }@ 01 diff 30 add no
 rejected none ]}-$" = 60 add 93 rev 06 add 39 = 45 rev 54 = final answer: |%

Trying }=8 @=0 '=1 "=2 %=3 |=4 ]=5 !=7 $=9 A=6
}@-@' = 80 add 01 = 81 vs @} 08 diff 73 add no; 08 add 10 = 18 vs rev }@ 80 diff 62 add no
 rejected none ]}-$" = 58 add 92 rev 85 add 29 = 114 rev 411 = final answer: |''

Trying }=6 @=8 '=0 "=1 %=2 |=3 ]=4 !=7 $=9 A=5
}@-@' = 68 add 80 = 148 vs @} 86 diff 62 add no; 86 add 08 = 94 vs rev }@ 68 diff 26 add no
 rejected none ]}-$" = 46 add 91 rev 64 add 19 = 83 rev 38 = final answer: |@

Trying }=9 @=6 '=8 "=0 %=1 |=2 ]=3
