|{:}/ = |!&"
&"(!? = ?>
#}(!" = >!(
?"`}} = {"&
The question is ?}`/>

Operator symbols :(`
Question operator symbol `
Question operator in examples

Digit symbols |{}/!&"?>#

Checking concatenation
left |{ op : right }/ expected |{}/ versus |!&" mismatch
left &" op ( right !? expected &"!? versus ?> mismatch
left #} op ( right !" expected #}!" versus >!( mismatch
left ?" op ` right }} expected ?"}} versus {"& mismatch

Question operator ` is not concatenation

Checking reverse concatenation
left |{ op : right }/ expected }/|{ versus |!&" mismatch
left &" op ( right !? expected !?&" versus ?> mismatch
left #} op ( right !" expected !"#} versus >!( mismatch
left ?" op ` right }} expected }}?" versus {"& mismatch

Question operator ` is not reverse concatenation

Filtering out the concatenation operations
|{:}/ = |!&"
&"(!? = ?>
#}(!" = >!(
?"`}} = {"&

Assigning mul
 left |{ op : right }/ = |!&" length 4 assume mul
 left &" op ( right !? = ?> length 2
 left #} op ( right !" = >!( length 3
 left ?" op ` right }} = {"& length 3

Assigning sub
 left |{ op : right }/ = |!&" assumed mul
 left &" op ( right !? = ?> length 2
 left #} op ( right !" = >!( op in output assume sub
 left ?" op ` right }} = {"& length 3

Assigning add
 left |{ op : right }/ = |!&" assumed mul
 left &" op ( right !? = ?> length 2
 left #} op ( right !" = >!( assumed sub
 left ?" op ` right }} = {"& length 3 assume add

Assigning remainder
 add is assigned, assigning remainder as sub
 left |{ op : right }/ = |!&" assumed mul
 left &" op ( right !? = ?> assumed sub
 left #} op ( right !" = >!( assumed sub
 left ?" op ` right }} = {"& assumed add
 left ?} op ` right /> the question, assumed add

Trying |=1 {=2 }=3 /=4 !=5 &=6 "=7 ?=8 >=9 #=0
|{:}/ = 12 mul 34 = 408 vs |!&" 1567 diff 1159 mul no; 21 mul 43 = 903 vs rev "&!| 7651 diff 6748 mul no
 rejected none ?}`/> = 83 add 49 rev 38 add 94 = 132 rev 231 = final answer: {}|

Trying |=0 {=1 }=2 /=3 !=4 &=5 "=6 ?=7 >=8 #=9
|{:}/ = 01 mul 23 = 23 vs |!&" 0456 diff 433 mul no; 10 mul 32 = 320 vs rev "&!| 6540 diff 6220 mul no
 rejected none ?}`/> = 72 add 38 rev 27 add 83 = 110 rev 011 = final answer: |{{

Trying |=8 {=0 }=1 /=2 !=3 &=4 "=5 ?=6 >=7 #=9
|{:}/ = 80 mul 12 = 960 vs |!&" 8345 diff 7385 mul no; 08 mul 21 = 168 vs rev "&!| 5438 diff 5270 mul no
 rejected none ?}`/> = 61 add 27 rev 16 add 72 = 88 rev 88 = final answer: ||

Trying |=3 {=9 }=0 /=1 !=4 &=5 "=6 ?=7 >=2 #=8
|{:}/ = 39 mul 01 = 39 vs |!&" 3456 diff 3417 mul no; 93 mul 10 = 930 vs rev "&!| 6543 diff 5613 mul no
 rejected none ?}`/> = 70 add 12 rev 07 add 21 = 28 rev 82 = final answer: #>

Trying |=5 {=3 }=9 /=0 !=1 &=4 "=6 ?=7 >=2 #=8
|{:}/ = 53 mul 90 = 4770 vs |!&" 5146 diff 376 mul no; 35 mul 09 = 315 vs rev "&!| 6415 diff 6100 mul no
 rejected none ?}`/> = 79 add 02 rev 97 add 20 = 117 rev 711 = final answer: ?!!

Trying |=1 {=2 }=3 /=4 !=5 &=6 "=7 ?=8 >=9 #=0
|{:}/ = 12 mul 34 = 408 vs |!&" 1567 diff 1159 mul no; 21 mul 43 = 903 vs rev "&!| 7651 diff 6748 mul no
 rejected none ?}`/> = 83 add 49 rev 38 add 94 = 132 rev 231 = final answer: {}|

Trying |=0 {=1 }=2 /=3 !=4 &=5 "=6 ?=7 >=8 #=9
|{:}/ = 01 mul 23 = 23 vs |!&" 0456 diff 433 mul no; 10 mul 32 = 320 vs rev "&!| 6540 diff 6220 mul no
 rejected none ?}`/> = 72 add 38 rev 27 add 83 = 110 rev 011 = final answer: |{{

Trying |=8 {=0 }=1 /=2 !=3 &=4 "=5 ?=6 >=7 #=9
|{:}/ = 80 mul 12 = 960 vs |!&" 8345 diff 7385 mul no; 08 mul 21 = 168 vs rev "&!| 5438 diff 5270 mul no
 rejected none ?}`/> = 61 add 27 rev 16 add 72 = 88 rev 88 = final answer: ||

Trying |=3 {=9 }=0 /=1 !=4 &=5 "=6 ?=7 >=2 #=8
|{:}/ = 39 mul 01 = 39 vs |!&" 3456 diff 3417 mul no; 93 mul 10 = 930 vs rev "&!| 6543 diff 5613 mul no
 rejected none ?}`/> = 70 add 12 rev 07 add 21 = 28 rev 82 = final answer: #>

Trying |=5 {=3 }=9 /=0 !=1 &=4 "=6 ?=7 >=2 #=8
|{:}/ = 53 mul 90 = 4770 vs |!&" 5146 diff 376 mul no; 35 mul 09 = 315 vs rev "&!| 6415 diff 6100 mul no
 rejected none ?}`/> = 79 add 02 rev 97 add 20 = 117 rev 711 = final answer: ?!!

Trying |=1 {=2 }=3 /=4 !=5 &=6 "=7 ?=8 >=9 #=0
|{:}/ = 12 mul 34 = 408 vs |!&" 1567 diff 1159 mul no; 21 mul 43 = 903 vs rev "&!| 7651 diff 6748 mul no
 rejected none ?}`/> = 83 add 49 rev 38 add 94 = 132 rev 231 = final answer: {}|

Trying |=0 {=1 }=2 /=3 !=4 &=5 "=6 ?=7 >=8 #=9
|{:}/ = 01 mul 23 = 23 vs |!&" 0456 diff 433 mul no; 10 mul 32 = 320 vs rev "&!| 6540 diff 6220 mul no
 rejected none ?}`/> = 72 add 38 rev 27 add 83 = 110 rev 011 = final answer: |{{

Trying |=8 {=0 }=1 /=2 !=3 &=4 "=5 ?=6 >=7 #=9
|{:}/ = 80 mul 12 = 960 vs |!&" 8345 diff 7385 mul no; 08 mul 21 = 168 vs rev "&!| 5438 diff 5270 mul no
 rejected none ?}`/> = 61 add 27 rev 16 add 72 = 88 rev 88 = final answer: ||

Trying |=3 {=9 }=0 /=1 !=4 &=5 "=6 ?=7 >=2 #=8
|{:}/ = 39 mul 01 = 39 vs |!&" 3456 diff 3417 mul no; 93 mul 10 = 930 vs rev "&!| 6543 diff 5613 mul no
 rejected none ?}`/> = 70 add 12 rev 07 add 21 = 28 rev 82 = final answer: #>

Trying |=5 {=3 }=9 /=0 !=1 &=4 "=6 ?=7 >=2 #=8
|{:}/ = 53 mul 90 = 4770 vs |!&" 5146 diff 376 mul no; 35 mul 09 = 315 vs rev "&!| 6415 diff 6100 mul no
 rejected none ?}`/> = 79 add 02 rev 97 add 20 = 117 rev 711 = final answer: ?!!

Trying |=1 {=2 }=3 /=4 !=5 &=6 "=7 ?=8 >=9 #=0
|{:}/ = 12 mul 34 = 408 vs |!&" 1567 diff 1159 mul no; 21 mul 43 = 903 vs rev "&!| 7651 diff 6748 mul no
 rejected none ?}`/> = 83 add 49 rev 38 add 94 = 132 rev 231 = final answer: {}|

Trying |=0 {=1 }=2 /=3 !=4 &=5 "=6 ?=7 >=8 #=9
|{:}/ = 01 mul 23 = 23 vs |!&" 0456 diff 433 mul no; 10 mul 32 = 320 vs rev "&!| 6540 diff 6220 mul no
 rejected none ?}`/> = 72 add 38 rev 27 add 83 = 110 rev 011 = final answer: |{{

Trying |=8 {=0 }=1 /=2 !=3 &=4 "=5 ?=6 >=7 #=9
|{:}/ = 80 mul 12 = 960 vs |!&" 8345 diff 7385 mul no; 08 mul 21 = 168 vs rev "&!| 5438 diff 5270 mul no
 rejected none ?}`/> = 61 add 27 rev 16 add 72 = 88 rev 88 = final answer: ||

Trying |=3 {=9 }=0 /=1 !=4 &=5 "=6 ?=7 >=2 #=8
|{:}/ = 39 mul 01 = 39 vs |!&" 3456 diff 3417 mul no; 93 mul 10 = 930 vs rev "&!| 6543 diff 5613 mul no
 rejected none ?}`/> = 70 add 12 rev 07 add 21 = 28 rev 82 = final answer: #>

Trying |=5 {=3 }=9 /=0 !=1 &=4 "=6 ?=7 >=2 #=8
|{:}/ = 53 mul 90 = 4770 vs |!&" 5146 diff 376 mul no; 35 mul 09 = 315 vs rev "&!| 6415 diff 6100 mul no
 rejected none ?}`/> = 79 add 02 rev 97 add 20 = 117 rev 711 = final answer: ?!!

Trying |=1 {=2 }=3 /=4 !=5 &=6 "=7 ?=8 >=9 #=0
|{:}/ = 12 mul 34 = 408 vs |!&" 1567 diff 1159 mul no; 21 mul 43 = 903 vs rev "&!| 7651 diff 6748 mul no
 rejected none ?}`/> = 83 add 49 rev 38 add 94 = 132 rev 231 = final answer: {}|

Trying |=0 {=1 }=2 /=3 !=4 &=5 "=6 ?=7 >=8 #=9
|{:}/ = 01 mul 23 = 23 vs |!&" 0456 diff 433 mul no; 10 mul 32 = 320 vs rev "&!| 6540 diff 6220 mul no
 rejected none ?}`/> = 72 add 38 rev 27 add 83 = 110 rev 011 = final answer: |{{

Trying |=8 {=0 }=1 /=2 !=3 &=4 "=5 ?=6 >=7 #=9
|{:}/ = 80 mul 12 = 960 vs |!&" 8345 diff 7385 mul no; 08 mul 21 = 168 vs rev "&!| 5438 diff 5270 mul no
 rejected none ?}`/> = 61 add 27 rev 16 add 72 = 88 rev 88 = final answer: ||

Trying |=3 {=9 }=0 /=1 !=4 &=5 "=6 ?=7 >=2 #=8
|{:}/ = 39 mul 01 = 39 vs |!&" 3456 diff 3417 mul no; 93 mul 10 = 930 vs rev "&!| 6543 diff 5613 mul no
 rejected none ?}`/> = 70 add 12 rev 07 add 21 = 28 rev 82 = final answer: #>

Trying |=5 {=3 }=9 /=0 !=1 &=4 "=6 ?=7 >=2 #=8
|{:}/ = 53 mul 90 = 4770 vs |!&" 5146 diff 376 mul no; 35 mul 09 = 315 vs rev "&!| 6415 diff 6100 mul no
 rejected none ?}`/> = 79 add 02 rev 97 add 20 = 117 rev 711 = final answer: ?!!

Trying |=1 {=2 }=3 /=4 !=5 &=6 "=7 ?=8 >=9 #=0
|{:}/ = 12 mul 34 = 408 vs |!&" 1567 diff 1159 mul no; 21 mul 43 = 903 vs rev "&!| 7651 diff 6748 mul no
 rejected none ?}`/> = 83 add 49 rev 38 add 94 = 132 rev 231 = final answer: {}|

Trying |=0 {=1 }=2 /=3 !=4 &=5 "=6 ?=7 >=8 #=9
|{:}/ = 01 mul 23 = 23 vs |!&" 0456 diff 433 mul no; 10 mul 32 = 320 vs rev "&!| 6540 diff 6220 mul no
 rejected none ?}`/> = 72 add 38 rev 27 add 83 = 110 rev 011 = final answer: |{{

Trying |=8 {=0 }=1 /=2 !=3 &=4 "=5 ?=6 >=7 #=9
|{:}/ = 80 mul 12 = 960 vs |!&" 8345 diff 7385 mul no; 08 mul 21 = 168 vs rev "&!| 5438 diff 5270 mul no
 rejected none ?}`/> = 61 add 27 rev 16 add 72 = 88 rev 88 = final answer: ||

Trying |=3 {=9 }=0 /=1 !=4 &=5 "=6 ?=7 >=2 #=8
|{:}/ = 39 mul 01 = 39 vs |!&" 3456 diff 3417 mul no; 93 mul 10 = 930 vs rev "&!| 6543 diff 5613 mul no
 rejected none ?}`/> = 70 add 12 rev 07 add 21 = 28 rev 82 = final answer: #>

Trying |=5 {=3 }=9 /=0 !=1 &=4 "=6 ?=7 >=2 #=8
|{:}/ = 53 mul 90 = 4770 vs |!&" 5146 diff 376 mul no; 35 mul 09 = 315 vs rev "&!| 6415 diff 6100 mul no
 rejected none ?}`/> = 79 add 02 rev 97 add 20 = 117 rev 711 = final answer: ?!!

Trying |=1 {=2 }=3 /=4 !=5 &=6 "=7 ?=8 >=9 #=0
|{:}/ = 12 mul 34 = 408 vs |!&" 1567 diff 1159 mul no; 21 mul 43 = 903 vs rev "&!| 7651 diff 6748 mul no
 rejected none ?}`/> = 83 add 49 rev 38 add 94 = 132 rev 231 = final answer: {}|

Trying |=0 {=1 }=2 /=3 !=4 &=5 "=6 ?=7 >=8 #=9
|{:}/ = 01 mul 23 = 23 vs |!&" 0456 diff 433 mul no; 10 mul 32 = 320 vs rev "&!| 6540 diff 6220 mul no
 rejected none ?}`/> = 72 add 38 rev 27 add 83 = 110 rev 011 = final answer: |{{

Trying |=8 {=0 }=1 /=2 !=3 &=4 "=5 ?=6 >=7 #=9
|{:}/ = 80 mul 12 = 960 vs |!&" 8345 diff 7385 mul no; 08 mul 21 = 168 vs rev "&!| 5438 diff 5270 mul no
 rejected none ?}`/> = 61 add 27 rev 16 add 72 = 88 rev 88 = final answer: ||

Trying |=3 {=9 }=0 /=1 !=4 &=5 "=6 ?=7 >=2 #=8
|{:}/ = 39 mul 01 = 39 vs |!&" 3456 diff 3417 mul no; 93 mul 10 = 930 vs rev "&!| 6543 diff 5613 mul no
 rejected none ?}`/> = 70 add 12 rev 07 add 21 = 28 rev 82 = final answer: #>

Trying |=5 {=3 }=9 /=0 !=1 &=4 "=6 ?=7 >=2 #=8
|{:}/ = 53 mul 90 = 4770 vs |!&" 5146 diff 376 mul no; 35 mul 09 = 315 vs rev "&!| 6415 diff 6100 mul no
 rejected none ?}`/> = 79 add 02 rev 97 add 20 = 117 rev 711 = final answer: ?!!

Trying |=1 {=2 }=3 /=4 !=5 &=6 "=7 ?=8 >=9 #=0
|{:}/ = 12 mul 34 = 408 vs |!&" 1567 diff 1159 mul no; 21 mul 43 = 903 vs rev "&!| 7651 diff 6748 mul no
 rejected none ?}`/> = 83 add 49 rev 38 add 94 = 132 rev 231 = final answer: {}|

Trying |=0 {=1 }=2 /=3 !=4 &=5 "=6 ?=7 >=8 #=9
|{:}/ = 01 mul 23 = 23 vs |!&" 0456 diff 433 mul no; 10 mul 32 = 320 vs rev "&!| 6540 diff 6220 mul no
 rejected none ?}`/> = 72 add 38 rev 27 add 83 = 110 rev 011 = final answer: |{{

Trying |=8 {=0 }=1 /=2 !=3 &=4 "=5 ?=6 >=7 #=9
|{:}/ = 80 mul 12 = 960 vs |!&" 8345 diff 7385 mul no; 08 mul 21 = 168 vs rev "&!| 5438 diff 5270 mul no
 rejected none ?}`/> = 61 add 27 rev 16 add 72 = 88 rev 88 = final answer: ||

Trying |=3 {=9 }=0 /=1 !=4 &=5 "=6 ?=7 >=2 #=8
|{:}/
