^)+(@ = $"
"[-^^ = -#$
@^+@% = &^
"(-)( = -@%
The question is ^#-##

Operator symbols +-
Question operator symbol -
Question operator in examples

Digit symbols ^)(@$"[#%&

Checking concatenation
left ^) op + right (@ expected ^)(@ versus $" mismatch
left "[ op - right ^^ expected "[^^ versus -#$ mismatch
left @^ op + right @% expected @^@% versus &^ mismatch
left "( op - right )( expected "()( versus -@% mismatch

Question operator - is not concatenation

Checking reverse concatenation
left ^) op + right (@ expected (@^) versus $" mismatch
left "[ op - right ^^ expected ^^"[ versus -#$ mismatch
left @^ op + right @% expected @%@^ versus &^ mismatch
left "( op - right )( expected )("( versus -@% mismatch

Question operator - is not reverse concatenation

Filtering out the concatenation operations
^)+(@ = $"
"[-^^ = -#$
@^+@% = &^
"(-)( = -@%

Assigning mul
 left ^) op + right (@ = $" length 2
 left "[ op - right ^^ = -#$ length 3
 left @^ op + right @% = &^ length 2
 left "( op - right )( = -@% length 3

Assigning sub
 left ^) op + right (@ = $" length 2
 left "[ op - right ^^ = -#$ op in output assume sub
 left @^ op + right @% = &^ length 2
 left "( op - right )( = -@% assumed sub

Assigning add
 left ^) op + right (@ = $" length 2
 left "[ op - right ^^ = -#$ assumed sub
 left @^ op + right @% = &^ length 2
 left "( op - right )( = -@% assumed sub

Assigning remainder
^)+(@ = 65 add 81 = 146 vs $" 09 diff 137 add no; 56 add 18 = 74 vs rev "$ 90 diff 16 add no
 rejected none ^#-## = 64 sub 44 rev 46 sub 44 = 2 rev 2 = final answer: &

Trying ^=2 )=6 (=5 @=8 $=0 "=9 [=3 #=4 %=7 &=1
^)+(@ = 26 add 58 = 84 vs $" 09 diff 75 add no; 62 add 85 = 147 vs rev "$ 90 diff 57 add no
 rejected none ^#-## = 24 sub 44 rev 42 sub 44 = 2 rev 2 = final answer: ^

Trying ^=1 )=3 (=4 @=2 $=0 "=9 [=5 #=6 %=7 &=8
^)+(@ = 13 add 42 = 55 vs $" 09 diff 46 add no; 31 add 24 = 55 vs rev "$ 90 diff 35 add no
 rejected forward ^#-## = 16 sub 66 = 50 = final answer: [$

Trying ^=8 )=1 (=3 @=4 $=0 "=9 [=5 #=6 %=7 &=2
^)+(@ = 81 add 34 = 115 vs $" 09 diff 106 add no; 18 add 43 = 61 vs rev "$ 90 diff 29 add no
 rejected none ^#-## = 86 sub 66 rev 68 sub 66 = 2 rev 2 = final answer: &

Trying ^=5 )=8 (=1 @=3 $=0 "=9 [=4 #=6 %=7 &=2
^)+(@ = 58 add 13 = 71 vs $" 09 diff 62 add no; 85 add 31 = 116 vs rev "$ 90 diff 26 add no
 rejected none ^#-## = 56 sub 66 rev 65 sub 66 = 1 rev 1 = final answer: (

Trying ^=6 )=5 (=8 @=1 $=0 "=9 [=3 #=4 %=7 &=2
^)+(@ = 65 add 81 = 146 vs $" 09 diff 137 add no; 56 add 18 = 74 vs rev "$ 90 diff 16 add no
 rejected none ^#-## = 64 sub 44 rev 46 sub 44 = 2 rev 2 = final answer: &

Trying ^=2 )=6 (=5 @=8 $=0 "=9 [=3 #=4 %=7 &=1
^)+(@ = 26 add 58 = 84 vs $" 09 diff 75 add no; 62 add 85 = 147 vs rev "$ 90 diff 57 add no
 rejected none ^#-## = 24 sub 44 rev 42 sub 44 = 2 rev 2 = final answer: ^

Trying ^=1 )=3 (=4 @=2 $=0 "=9 [=5 #=6 %=7 &=8
^)+(@ = 13 add 42 = 55 vs $" 09 diff 46 add no; 31 add 24 = 55 vs rev "$ 90 diff 35 add no
 rejected forward ^#-## = 16 sub 66 = 50 = final answer: [$

Trying ^=8 )=1 (=3 @=4 $=0 "=9 [=5 #=6 %=7 &=2
^)+(@ = 81 add 34 = 115 vs $" 09 diff 106 add no; 18 add 43 = 61 vs rev "$ 90 diff 29 add no
 rejected none ^#-## = 86 sub 66 rev 68 sub 66 = 2 rev 2 = final answer: &

Trying ^=5 )=8 (=1 @=3 $=0 "=9 [=4 #=6 %=7 &=2
^)+(@ = 58 add 13 = 71 vs $" 09 diff 62 add no; 85 add 31 = 116 vs rev "$ 90 diff 26 add no
 rejected none ^#-## = 56 sub 66 rev 65 sub 66 = 1 rev 1 = final answer: (

Trying ^=6 )=5 (=8 @=1 $=0 "=9 [=3 #=4 %=7 &=2
^)+(@ = 65 add 81 = 146 vs $" 09 diff 137 add no; 56 add 18 = 74 vs rev "$ 90 diff 16 add no
 rejected none ^#-## = 64 sub 44 rev 46 sub 44 = 2 rev 2 = final answer: &

Trying ^=2 )=6 (=5 @=8 $=0 "=9 [=3 #=4 %=7 &=1
^)+(@ = 26 add 58 = 84 vs $" 09 diff 75 add no; 62 add 85 = 147 vs rev "$ 90 diff 57 add no
 rejected none ^#-## = 24 sub 44 rev 42 sub 44 = 2 rev 2 = final answer: ^

Trying ^=1 )=3 (=4 @=2 $=0 "=9 [=5 #=6 %=7 &=8
^)+(@ = 13 add 42 = 55 vs $" 09 diff 46 add no; 31 add 24 = 55 vs rev "$ 90 diff 35 add no
 rejected forward ^#-## = 16 sub 66 = 50 = final answer: [$

Trying ^=8 )=1 (=3 @=4 $=0 "=9 [=5 #=6 %=7 &=2
^)+(@ = 81 add 34 = 115 vs $" 09 diff 106 add no; 18 add 43 = 61 vs rev "$ 90 diff 29 add no
 rejected none ^#-## = 86 sub 66 rev 68 sub 66 = 2 rev 2 = final answer: &

Trying ^=5 )=8 (=1 @=3 $=0 "=9 [=4 #=6 %=7 &=2
^)+(@ = 58 add 13 = 71 vs $" 09 diff 62 add no; 85 add 31 = 116 vs rev "$ 90 diff 26 add no
 rejected none ^#-## = 56 sub 66 rev 65 sub 66 = 1 rev 1 = final answer: (

Trying ^=6 )=5 (=8 @=1 $=0 "=9 [=3 #=4 %=7 &=2
^)+(@ = 65 add 81 = 146 vs $" 09 diff 137 add no; 56 add 18 = 74 vs rev "$ 90 diff 16 add no
 rejected none ^#-## = 64 sub 44 rev 46 sub 44 = 2 rev 2 = final answer: &

Trying ^=2 )=6 (=5 @=8 $=0 "=9 [=3 #=4 %=7 &=1
^)+(@ = 26 add 58 = 84 vs $" 09 diff 75 add no; 62 add 85 = 147 vs rev "$ 90 diff 57 add no
 rejected none ^#-## = 24 sub 44 rev 42 sub 44 = 2 rev 2 = final answer: ^

Trying ^=1 )=3 (=4 @=2 $=0 "=9 [=5 #=6 %=7 &=8
^)+(@ = 13 add 42 = 55 vs $" 09 diff 46 add no; 31 add 24 = 55 vs rev "$ 90 diff 35 add no
 rejected forward ^#-## = 16 sub 66 = 50 = final answer: [$

Trying ^=8 )=1 (=3 @=4 $=0 "=9 [=5 #=6 %=7 &=2
^)+(@ = 81 add 34 = 115 vs $" 09 diff 106 add no; 18 add 43 = 61 vs rev "$ 90 diff 29 add no
 rejected none ^#-## = 86 sub 66 rev 68 sub 66 = 2 rev 2 = final answer: &

Trying ^=5 )=8 (=1 @=3 $=0 "=9 [=4 #=6 %=7 &=2
^)+(@ = 58 add 13 = 71 vs $" 09 diff 62 add no; 85 add 31 = 116 vs rev "$ 90 diff 26 add no
 rejected none ^#-## = 56 sub 66 rev 65 sub 66 = 1 rev 1 = final answer: (

Trying ^=6 )=5 (=8 @=1 $=0 "=9 [=3 #=4 %=7 &=2
^)+(@ = 65 add 81 = 146 vs $" 09 diff 137 add no; 56 add 18 = 74 vs rev "$ 90 diff 16 add no
 rejected none ^#-## = 64 sub 44 rev 46 sub 44 = 2 rev 2 = final answer: &

Trying ^=2 )=6 (=5 @=8 $=0 "=9 [=3 #=4 %=7 &=1
^)+(@ = 26 add 58 = 84 vs $" 09 diff 75 add no; 62 add 85 = 147 vs rev "$ 90 diff 57 add no
 rejected none ^#-## = 24 sub 44 rev 42 sub 44 = 2 rev 2 = final answer: ^

Trying ^=1 )=3 (=4 @=2 $=0 "=9 [=5 #=6 %=7 &=8
^)+(@ = 13 add 42 = 55 vs $" 09 diff 46 add no; 31 add 24 = 55 vs rev "$ 90 diff 35 add no
 rejected forward ^#-## = 16 sub 66 = 50 = final answer: [$

Trying ^=8 )=1 (=3 @=4 $=0 "=9 [=5 #=6 %=7 &=2
^)+(@ = 81 add 34 = 115 vs $" 09 diff 106 add no; 18 add 43 = 61 vs rev "$ 90 diff 29 add no
 rejected none ^#-## = 86 sub 66 rev 68 sub 66 = 2 rev 2 = final answer: &

Trying ^=5 )=8 (=1 @=3 $=0 "=9 [=4 #=6 %=7 &=2
^)+(@ = 58 add 13 = 71 vs $" 09 diff 62 add no; 85 add 31 = 116 vs rev "$ 90 diff 26 add no
 rejected none ^#-## = 56 sub 66 rev 65 sub 66 = 1 rev 1 = final answer: (

Trying ^=6 )=5 (=8 @=1 $=0 "=9 [=3 #=4 %=7 &=2
^)+(@ = 65 add 81 = 146 vs $" 09 diff 137 add no; 56 add 18 = 74 vs rev "$ 90 diff 16 add no
 rejected none ^#-## = 64 sub 44 rev 46 sub 44 = 2 rev 2 = final answer: &

Trying ^=2 )=6 (=5 @=8 $=0 "=9 [=3 #=4 %=7 &=1
^)+(@ = 26 add 58 = 84 vs $" 09 diff 75 add no; 62 add 85 = 147 vs rev "$ 90 diff 57 add no
 rejected none ^#-## = 24 sub 44 rev 42 sub 44 = 2 rev 2 = final answer: ^

Trying ^=1 )=3 (=4 @=2 $=0 "=9 [=5 #=6 %=7 &=8
^)+(@ = 13 add 42 = 55 vs $" 09 diff 46 add no; 31 add 24 = 55 vs rev "$ 90 diff 35 add no
 rejected forward ^#-## = 16 sub 66 = 50 = final answer: [$

Trying ^=8 )=1 (=3 @=4 $=0 "=9 [=5 #=6 %=7 &=2
^)+(@ = 81 add 34 = 115 vs $" 09 diff 106 add no; 18 add 43 = 61 vs rev "$ 90 diff 29 add no
 rejected none ^#-## = 86 sub 66 rev 68 sub 66 = 2 rev 2 = final answer: &

Trying ^=5 )=8 (=1 @=3 $=0 "=9 [=4 #=6 %=7 &=2
^)+(@ = 58 add 13 = 71 vs $" 09 diff 62 add no; 85 add 31 = 116 vs rev "$ 90 diff 26 add no
 rejected none ^#-## = 56 sub 66 rev 65 sub 66 = 1 rev 1 = final answer: (

Trying ^=6 )=5 (=8 @=1 $=0 "=9 [=3 #=4 %=7 &=2
^)+(@ = 65 add 81 = 146 vs $" 09 diff 137 add no; 56 add 18 = 74 vs rev "$ 90 diff 16 add no
 rejected none ^#-## = 64 sub 44 rev 46 sub 44 = 2 rev 2 = final answer: &

Trying ^=2 )=6 (=5 @=8 $=0 "=9 [=3 #=4 %=7 &=1
^)+(@ = 26 add 58 = 84 vs $" 09 diff 75 add no; 62 add 85 = 147 vs rev "$ 90 diff 57 add no
 rejected none ^#-## = 24 sub 44 rev 42 sub 44 = 2 rev 2 = final answer: ^

Trying ^=1 )=3 (=4 @=2 $=0 "=9 [=5 #=6 %=7 &=8
^)+(@ = 13 add 42 = 55 vs $" 09 diff 46 add no; 31 add 24 = 55 vs rev "$ 90 diff 35 add no
 rejected forward ^#-## = 16 sub 66 = 50 = final answer: [$

Trying ^=8 )=1 (=3 @=4 $=0 "=9 [=5 #=6 %=7 &=2
^)+(@ = 81 add 34 = 115 vs $" 09 diff 106 add no; 18 add 43 = 61 vs rev "$ 90 diff 29 add no
 rejected none ^#-## = 86 sub 66 rev 68 sub 66 = 2 rev 2 = final answer: &

Trying ^=5 )=8 (=1 @=3 $=0 "=9 [=4 #=6 %=7 &=2
^)+(@ = 58 add 13 = 71 vs $" 09 diff 62 add no; 85 add 31 = 116 vs rev "$ 90 diff 26 add no
 rejected none ^#-## = 56 sub 66 rev 65 sub 66 = 1 rev 1 = final answer: (

Trying ^=6 )=5 (=8 @=1 $=0 "=9 [=3 #=4 %=7 &=2
^)+(@ = 65 add 81 = 146 vs $" 09 diff 137 add no; 56 add 18 = 74 vs rev "$ 90 diff 16 add no
 rejected none ^#
